1	0.5	7.77
2	0.5	8.36
3	0.5	9.41
4	0.5	9.73
5	0.5	11.69
6	0.5	13.66
7	0.5	15.47
8	0.5	16.89
9	0.5	19.06
1	1	10.35
2	1	10.85
3	1	12.34
4	1	12.71
5	1	13.46
6	1	16.13
7	1	18.58
8	1	20.83
9	1	23.04
1	1.5	11.09
2	1.5	12.03
3	1.5	13.88
4	1.5	14.27
5	1.5	14.77
6	1.5	17.59
7	1.5	20.15
8	1.5	23.11
9	1.5	25.57
1	2	11.83
2	2	13.21
3	2	15.42
4	2	15.83
5	2	16.08
6	2	19.05
7	2	21.72
8	2	25.39
9	2	28.1
1	2.5	12.57
2	2.5	14.39
3	2.5	16.96
4	2.5	17.39
5	2.5	17.39
6	2.5	20.51
7	2.5	23.29
8	2.5	27.67
9	2.5	30.63
1	3	13.24
2	3	15.44
3	3	18.4
4	3	18.85
5	3	18.51
6	3	21.75
7	3	24.77
8	3	29.74
9	3	32.96
1	3.5	13.85
2	3.5	16.47
3	3.5	19.84
4	3.5	20.31
5	3.5	19.71
6	3.5	23.06
7	3.5	26.38
8	3.5	31.94
9	3.5	35.42
1	4	14.46
2	4	17.5
3	4	21.28
4	4	21.77
5	4	20.91
6	4	24.37
7	4	27.99
8	4	34.14
9	4	37.88
1	4.5	15.07
2	4.5	18.53
3	4.5	22.72
4	4.5	23.23
5	4.5	22.11
6	4.5	25.68
7	4.5	29.6
8	4.5	36.34
9	4.5	40.34
1	5	15.68
2	5	19.52
3	5	24.11
4	5	24.66
5	5	23.25
6	5	27.01
7	5	31.21
8	5	38.58
9	5	42.84
1	5.5	16.35
2	5.5	20.55
3	5.5	25.46
4	5.5	26.03
5	5.5	24.39
6	5.5	28.26
7	5.5	32.82
8	5.5	40.76
9	5.5	45.26
1	6	17.02
2	6	21.58
3	6	26.81
4	6	27.4
5	6	25.53
6	6	29.51
7	6	34.43
8	6	42.94
9	6	47.68
1	6.5	17.69
2	6.5	22.61
3	6.5	28.16
4	6.5	28.77
5	6.5	26.67
6	6.5	30.76
7	6.5	36.04
8	6.5	45.12
9	6.5	50.1
1	7	18.36
2	7	23.64
3	7	29.51
4	7	30.14
5	7	27.81
6	7	32.01
7	7	37.65
8	7	47.3
9	7	52.52
1	7.5	19.03
2	7.5	24.67
3	7.5	30.86
4	7.5	31.51
5	7.5	28.95
6	7.5	33.26
7	7.5	39.26
8	7.5	49.48
9	7.5	54.94
1	8	19.7
2	8	25.7
