"9000100-001","UPS Express","South Dakota Express"
"9000101-002","UPS Ground","South Dakota 3-5 Business Days"
"9000102-001","UPS Express","Tennessee Express"
"9000103-002","Ground","Tennessee 3-5 Business Days"
"9000104-001","UPS Express","Texas Express"
"9000105-002","Ground","Texas 3-5 Business Days"
"9000106-001","UPS Express","Utah Express"
"9000107-002","Ground","Utah 3-5 Business Days"
"9000108-001","UPS Express","Vermont Express"
"9000109-002","Ground","Vermont 3-5 Business Days"
"9000110-001","UPS Express","Washington Express"
"9000111-002","Ground","Washington 3-5 Business Days"
"9000112-001","UPS Express","Wisconsin Express"
"9000113-002","Ground","Wisconsin 3-5 Business Days"
"9000114-001","UPS Express","West Virginia Express"
"9000115-002","Ground","West Virginia 3-5 Business Days"
"9000116-001","UPS Express","Wyoming Express"
"9000117-002","Ground","Wyoming 3-5 Business Days"
"900012-001","UPS Express","United States Express"
"900013-001","DHL Express","Canada Express"
"9000132-002","Ground","Connecticut 3-5 Business Days"
"9000133-002","Ground","District of Columbia 3-5 Business Days"
"9000134-002","Ground","Delaware 3-5 Business Days"
"9000135-002","Ground","Massachusetts 3-5 Business Days"
"9000136-002","Ground","Maryland 3-5 Business Days"
"9000137-002","Ground","New Jersey 3-5 Business Days"
"9000138-002","Ground","New York 3-5 Business Days"
"9000139-002","Ground","Pennsylvania 3-5 Business Days"
"900014-001","DHL Express","Other Regions Express"
"9000140-002","Ground","Rhode Island 3-5 Business Days"
"9000141-002","Ground","Virginia 3-5 Business Days"
"9000203-001","DHL Express","International Express"
"9000205-001","Ground","Alaska 3-5 Business Days"
"9000206-001","Ground","Hawaii 3-5 Business Days"
"900025-002","Premier Daytime","Premier Daytime"
"900025-003","Premier Evening","Premier Evening"
"900026-001","UPS Express","Connecticut Express"
"900027-001","UPS Express","District of Columbia Express"
"900028-001","UPS Express","Delaware Express"
"900029-001","UPS Express","Massachusetts Express"
"900030-001","UPS Express","Maryland Express"
"900031-001","UPS Express","New Jersey Express"
"900032-001","UPS Express","New York State Express"
"900033-001","UPS Express","Pennsylvania Express"
"900034-001","UPS Express","Rhode Island Express"
"900035-001","UPS Express","Virginia Express"
"900036-001","UPS Express","Alaska Express"
"900038-001","UPS Express","Alabama Express"
"900039-002","Ground","Alabama 3-5 Business Days"
"900040-001","UPS Express","Arkansas Express"
"900041-002","Ground","Arkansas 3-5 Business Days"
"900042-001","UPS Express","Arizona Express"
"900043-002","Ground","Arizona 3-5 Business Days"
"900044-001","UPS Express","California Express"
"900045-002","Ground","California 3-5 Business Days"
"900046-001","UPS Express","Colorado Express"
"900047-002","Ground","Colorado 3-5 Business Days"
"900048-001","UPS Express","Florida Express"
"900049-002","Ground","Florida 3-5 Business Days"
"900050-001","UPS Express","Georgia Express"
"900051-002","Ground","Georgia 3-5 Business Days"
"900052-001","UPS Express","Hawaii Express"
"900054-001","UPS Express","Iowa Express"
"900055-002","Ground","Iowa 3-5 Business Days"
"900056-001","UPS Express","Idaho Express"
"900057-002","Ground","Idaho 3-5 Business Days"
"900058-001","UPS Express","Illinois Express"
"900059-002","Ground","Illinois 3-5 Business Days"
"900060-001","UPS Express","Indiana Express"
"900061-002","Ground","Indiana 3-5 Business Days"
"900062-001","UPS Express","Kansas Express"
"900063-002","Ground","Kansas 3-5 Business Days"
"900064-001","UPS Express","Kentucky Express"
"900065-002","Ground","Kentucky 3-5 Business Days"
"900066-001","UPS Express","Louisiana Express"
"900067-002","Ground","Louisiana 3-5 Business Days"
"900068-001","UPS Express","Maine Express"
"900069-002","Ground","Maine 3-5 Business Days"
"900070-001","UPS Express","Michigan Express"
"900071-002","Ground","Michigan 3-5 Business Days"
"900072-001","UPS Express","Minnesota Express"
"900073-002","Ground","Minnesota 3-5 Business Days"
"900074-001","UPS Express","Missouri Express"
"900075-002","Ground","Missouri 3-5 Business Days"
"900076-001","UPS Express","Missississpi Express"
"900077-002","Ground","Missississpi 3-5 Business Days"
"900078-001","UPS Express","Montana Express"
"900079-002","Ground","Montana 3-5 Business Days"
"900080-001","UPS Express","North Carolina Express"
"900081-002","Ground","North Carolina 3-5 Business Days"
"900082-001","UPS Express","North Dakota Express"
"900083-002","Ground","North Dakota 3-5 Business Days"
"900084-001","UPS Express","Nebraska Express"
"900085-002","Ground","Nebraska 3-5 Business Days"
"900086-001","UPS Express","New Hampshire Express"
"900087-002","Ground","New Hampshire 3-5 Business Days"
"900088-001","UPS Express","New Mexico Express"
"900089-002","Ground","New Mexico 3-5 Business Days"
"900090-001","UPS Express","Nevada Express"
"900091-002","Ground","Nevada 3-5 Business Days"
"900092-001","UPS Express","Ohio Express"
"900093-002","Ground","Ohio 3-5 Business Days"
"900094-001","UPS Express","Oklahoma Express"
"900095-002","Ground","Oklahoma 3-5 Business Days"
"900096-001","UPS Express","Oregon Express"
"900097-002","Ground","Oregon 3-5 Business Days"
"900098-001","UPS Express","South Carolina Express"
"900099-002","Ground","South Carolina 3-5 Business Days"
