1,4,"9000101-002"
2,4,"9000103-002"
3,4,"9000105-002"
4,4,"9000107-002"
5,4,"9000109-002"
6,4,"9000111-002"
7,4,"9000113-002"
8,4,"9000115-002"
9,4,"9000117-002"
10,4,"9000132-002"
11,4,"9000133-002"
12,4,"9000134-002"
13,4,"9000135-002"
14,4,"9000136-002"
15,4,"9000137-002"
16,4,"9000138-002"
17,4,"9000139-002"
18,4,"9000140-002"
19,4,"9000141-002"
20,4,"900018-002"
21,4,"900021-002"
22,4,"900024-002"
23,4,"900037-002"
24,4,"900039-002"
25,4,"900041-002"
26,4,"900043-002"
27,4,"900045-002"
28,4,"900047-002"
29,4,"900049-002"
30,4,"900051-002"
31,4,"900053-002"
32,4,"900055-002"
33,4,"900057-002"
34,4,"900059-002"
35,4,"900061-002"
36,4,"900063-002"
37,4,"900065-002"
38,4,"900067-002"
39,4,"900069-002"
40,4,"900071-002"
41,4,"900073-002"
42,4,"900075-002"
43,4,"900077-002"
44,4,"900079-002"
45,4,"900081-002"
46,4,"900083-002"
47,4,"900085-002"
48,4,"900087-002"
49,4,"900089-002"
50,4,"900091-002"
51,4,"900093-002"
52,4,"900095-002"
53,4,"900097-002"
54,4,"900099-002"
55,5,"900011-001"
56,5,"900025-002"
57,3,"900006-001"
58,3,"900007-001"
59,3,"900010-001"
60,3,"9000100-001"
61,3,"9000102-001"
62,3,"9000104-001"
63,3,"9000106-001"
64,3,"9000108-001"
65,3,"9000110-001"
66,3,"9000112-001"
67,3,"9000114-001"
68,3,"9000116-001"
69,3,"9000118-001"
70,3,"900012-001"
71,3,"900013-001"
72,3,"9000130-001"
73,3,"9000131-001"
74,3,"900014-001"
75,3,"900015-001"
76,3,"900016-001"
77,3,"900026-001"
78,3,"900027-001"
79,3,"900028-001"
80,3,"900029-001"
81,3,"900030-001"
82,3,"900031-001"
83,3,"900032-001"
84,3,"900033-001"
85,3,"900034-001"
86,3,"900035-001"
87,3,"900036-001"
88,3,"900038-001"
89,3,"900040-001"
90,3,"900042-001"
91,3,"900044-001"
92,3,"900046-001"
93,3,"900048-001"
94,3,"900050-001"
95,3,"900052-001"
96,3,"900054-001"
97,3,"900056-001"
98,3,"900058-001"
99,3,"900060-001"
100,3,"900062-001"
101,3,"900064-001"
102,3,"900066-001"
103,3,"900068-001"
104,3,"900070-001"
105,3,"900072-001"
106,3,"900074-001"
107,3,"900076-001"
108,3,"900078-001"
109,3,"900080-001"
110,3,"900082-001"
111,3,"900084-001"
112,3,"900086-001"
113,3,"900088-001"
114,3,"900090-001"
115,3,"900092-001"
116,3,"900094-001"
117,3,"900096-001"
118,3,"900098-001"
