146,"900055-002","STATE","T","F",\N,"US","IA",\N,1
147,"900057-002","STATE","T","F",\N,"US","ID",\N,1
148,"900071-002","STATE","T","F",\N,"US","MI",\N,1
149,"900069-002","STATE","T","F",\N,"US","ME",\N,1
150,"9000136-002","STATE","T","F",\N,"US","MD",\N,1
151,"9000135-002","STATE","T","F",\N,"US","MA",\N,1
152,"900067-002","STATE","T","F",\N,"US","LA",\N,1
153,"900065-002","STATE","T","F",\N,"US","KY",\N,1
154,"900063-002","STATE","T","F",\N,"US","KS",\N,1
155,"900061-002","STATE","T","F",\N,"US","IN",\N,1
156,"900059-002","STATE","T","F",\N,"US","IL",\N,1
208,"9000205-001","STATE","T","F",\N,"US","AK",\N,1
209,"9000206-001","STATE","T","F",\N,"US","HI",\N,1
210,"9000207-001","STATE","T","F",\N,"US","MN",\N,1
211,"9000208-001","STATE","T","F",\N,"US","MO",\N,1
212,"9000203-001","REGION","F","F",18,\N,\N,\N,1
