shipping_sku,country_code,postcode
9000436-016,AT,5661
9000436-016,AT,5662
9000436-016,AT,5671
9000436-016,AT,5672
9000436-016,AT,5710
9000436-016,AT,5721
9000436-016,AT,5722
9000436-016,AT,5723
9000436-016,AT,5724
9000436-016,AT,5730
9000436-016,AT,5731
9000436-016,AT,5732
9000436-016,AT,5733
9000436-016,AT,5741
9000436-016,AT,5742
9000436-016,AT,5743
9000436-016,AT,5752
9000436-016,AT,5753
9000436-016,AT,5754
9000436-016,AT,6071
9000436-016,AT,6072
9000436-016,AT,6073
9000436-016,AT,6074
9000436-016,AT,6075
9000436-016,AT,6080
9000436-016,AT,6082
9000436-016,AT,6082
9000436-016,AT,6091
9000436-016,AT,6094
9000436-016,AT,6094
9000436-016,AT,6100
9000436-016,AT,6103
9000436-016,AT,6105
9000436-016,AT,6108
9000436-016,AT,6133
9000436-016,AT,6141
9000436-016,AT,6142
9000436-016,AT,6143
9000436-016,AT,6145
9000436-016,AT,6150
9000436-016,AT,6152
9000436-016,AT,6154
9000436-016,AT,6156
9000436-016,AT,6156
9000436-016,AT,6161
9000436-016,AT,6162
9000436-016,AT,6165
9000436-016,AT,6166
9000436-016,AT,6167
9000436-016,AT,6173
9000436-016,AT,6179
9000436-016,AT,6181
9000436-016,AT,6182
9000436-016,AT,6183
9000436-016,AT,6184
9000436-016,AT,6212
9000436-016,AT,6213
9000436-016,AT,6215
9000436-016,AT,6220
9000436-016,AT,6222
9000436-016,AT,6234
9000436-016,AT,6235
9000436-016,AT,6236
9000436-016,AT,6260
9000436-016,AT,6261
9000436-016,AT,6262
9000436-016,AT,6263
9000436-016,AT,6264
9000436-016,AT,6265
9000436-016,AT,6271
9000436-016,AT,6272
9000436-016,AT,6272
9000436-016,AT,6274
9000436-016,AT,6275
9000436-016,AT,6276
9000436-016,AT,6277
9000436-016,AT,6278
9000436-016,AT,6280
9000436-016,AT,6281
9000436-016,AT,6283
9000436-016,AT,6284
9000436-016,AT,6290
9000436-016,AT,6292
9000436-016,AT,6293
9000436-016,AT,6294
9000436-016,AT,6295
9000436-016,AT,6311
9000436-016,AT,6313
9000436-016,AT,6333
9000436-016,AT,6334
9000436-016,AT,6335
9000436-016,AT,6343
9000436-016,AT,6344
9000436-016,AT,6345
9000436-016,AT,6346
9000436-016,AT,6351
9000436-016,AT,6352
9000436-016,AT,6353
9000436-016,AT,6382
9000436-016,AT,6383
9000436-016,AT,6384
9000436-016,AT,6385
9000436-016,AT,6391
9000436-016,AT,6392
9000436-016,AT,6393
9000436-016,AT,6395
9000436-016,AT,6432
9000436-016,AT,6433
9000436-016,AT,6441
9000436-016,AT,6444
9000436-016,AT,6450
9000436-016,AT,6452
9000436-016,AT,6456
9000436-016,AT,6458
9000436-016,AT,6465
9000436-016,AT,6471
9000436-016,AT,6473
9000436-016,AT,6474
9000436-016,AT,6481
9000436-016,AT,6521
9000436-016,AT,6522
9000436-016,AT,6524
9000436-016,AT,6527
9000436-016,AT,6528
9000436-016,AT,6531
9000436-016,AT,6531
9000436-016,AT,6533
9000436-016,AT,6534
9000436-016,AT,6541
9000436-016,AT,6542
9000436-016,AT,6543
9000436-016,AT,6544
9000436-016,AT,6551
9000436-016,AT,6551
9000436-016,AT,6553
9000436-016,AT,6555
9000436-016,AT,6561
9000436-016,AT,6562
9000436-016,AT,6563
9000436-016,AT,6571
9000436-016,AT,6572
9000436-016,AT,6574
9000436-016,AT,6580
9000436-016,AT,6591
9000436-016,AT,6600
9000436-016,AT,6604
9000436-016,AT,6610
9000436-016,AT,6611
9000436-016,AT,6621
9000436-016,AT,6622
9000436-016,AT,6623
9000436-016,AT,6631
9000436-016,AT,6632
9000436-016,AT,6633
9000436-016,AT,6642
9000436-016,AT,6644
9000436-016,AT,6645
9000436-016,AT,6646
9000436-016,AT,6647
9000436-016,AT,6650
9000436-016,AT,6651
9000436-016,AT,6652
9000436-016,AT,6653
9000436-016,AT,6654
9000436-016,AT,6655
9000436-016,AT,6671
9000436-016,AT,6672
9000436-016,AT,6673
9000436-016,AT,6675
9000436-016,AT,6677
9000436-016,AT,6682
9000436-016,AT,6708
9000436-016,AT,6731
9000436-016,AT,6733
9000436-016,AT,6752
9000436-016,AT,6754
9000436-016,AT,6761
9000436-016,AT,6762
9000436-016,AT,6763
9000436-016,AT,6764
9000436-016,AT,6767
9000436-016,AT,6781
9000436-016,AT,6782
9000436-016,AT,6787
9000436-016,AT,6791
9000436-016,AT,6791
9000436-016,AT,6793
9000436-016,AT,6794
9000436-016,AT,6861
9000436-016,AT,6863
9000436-016,AT,6866
9000436-016,AT,6867
9000436-016,AT,6870
9000436-016,AT,6874
9000436-016,AT,6881
9000436-016,AT,6882
9000436-016,AT,6883
9000436-016,AT,6884
9000436-016,AT,6886
9000436-016,AT,6888
9000436-016,AT,6932
9000436-016,AT,6933
9000436-016,AT,6934
9000436-016,AT,6941
9000436-016,AT,6942
9000436-016,AT,6943
9000436-016,AT,6951
9000436-016,AT,6952
9000436-016,AT,6952
9000436-016,AT,7421
9000436-016,AT,7422
9000436-016,AT,7433
9000436-016,AT,7434
9000436-016,AT,7435
9000436-016,AT,7441
9000436-016,AT,7442
9000436-016,AT,7443
9000436-016,AT,7444
9000436-016,AT,7451
9000436-016,AT,7452
9000436-016,AT,7453
9000436-016,AT,7463
9000436-016,AT,7464
9000436-016,AT,7471
9000436-016,AT,7472
9000436-016,AT,7473
9000436-016,AT,7474
9000436-016,AT,7511
9000436-016,AT,7512
9000436-016,AT,7521
9000436-016,AT,7522
9000436-016,AT,7533
9000436-016,AT,7534
9000436-016,AT,7535
9000436-016,AT,7535
9000436-016,AT,7537
9000436-016,AT,7551
9000436-016,AT,7552
9000436-016,AT,7553
9000436-016,AT,7571
9000436-016,AT,7572
9000436-016,AT,7572
9000436-016,AT,8000
9000436-016,AT,8008
9000436-016,AT,8061
9000436-016,AT,8062
9000436-016,AT,8063
9000436-016,AT,8102
9000436-016,AT,8103
9000436-016,AT,8113
9000436-016,AT,8114
9000436-016,AT,8122
9000436-016,AT,8124
9000436-016,AT,8153
9000436-016,AT,8162
9000436-016,AT,8163
9000436-016,AT,8171
9000436-016,AT,8172
9000436-016,AT,8182
9000436-016,AT,8183
9000436-016,AT,8184
9000436-016,AT,8190
9000436-016,AT,8191
9000436-016,AT,8192
9000436-016,AT,8193
9000436-016,AT,8222
9000436-016,AT,8223
9000436-016,AT,8224
9000436-016,AT,8225
9000436-016,AT,8226
9000436-016,AT,8242
9000436-016,AT,8244
9000436-016,AT,8250
9000436-016,AT,8251
9000436-016,AT,8252
9000436-016,AT,8253
9000436-016,AT,8254
9000436-016,AT,8255
9000436-016,AT,8261
9000436-016,AT,8262
9000436-016,AT,8264
9000436-016,AT,8265
9000436-016,AT,8266
9000436-016,AT,8274
9000436-016,AT,8282
9000436-016,AT,8293
9000436-016,AT,8294
9000436-016,AT,8302
9000436-016,AT,8311
9000436-016,AT,8312
9000436-016,AT,8313
9000436-016,AT,8323
9000436-016,AT,8362
9000436-016,AT,8362
9000436-016,AT,8382
9000436-016,AT,8384
9000436-016,AT,8553
9000436-016,AT,8554
9000436-016,AT,8555
9000436-016,AT,8556
9000436-016,AT,8573
9000436-016,AT,8583
9000436-016,AT,8584
9000436-016,AT,8592
9000436-016,AT,8593
9000436-016,AT,8611
9000436-016,AT,8612
9000436-016,AT,8614
9000436-016,AT,8615
9000436-016,AT,8616
9000436-016,AT,8622
9000436-016,AT,8623
9000436-016,AT,8624
9000436-016,AT,8625
9000436-016,AT,8630
9000436-016,AT,8632
9000436-016,AT,8634
9000436-016,AT,8635
9000436-016,AT,8636
9000436-016,AT,8653
9000436-016,AT,8654
9000436-016,AT,8663
9000436-016,AT,8664
9000436-016,AT,8671
9000436-016,AT,8672
9000436-016,AT,8673
9000436-016,AT,8674
9000436-016,AT,8684
9000436-016,AT,8685
9000436-016,AT,8690
9000436-016,AT,8691
9000436-016,AT,8692
9000436-016,AT,8693
9000436-016,AT,8694
9000436-016,AT,8731
9000436-016,AT,8732
9000436-016,AT,8733
9000436-016,AT,8734
9000436-016,AT,8742
9000436-016,AT,8743
9000436-016,AT,8762
9000436-016,AT,8763
9000436-016,AT,8764
9000436-016,AT,8765
9000436-016,AT,8773
9000436-016,AT,8774
9000436-016,AT,8775
9000436-016,AT,8781
9000436-016,AT,8782
9000436-016,AT,8783
9000436-016,AT,8784
9000436-016,AT,8785
9000436-016,AT,8786
9000436-016,AT,8790
9000436-016,AT,8794
9000436-016,AT,8795
9000436-016,AT,8800
9000436-016,AT,8811
9000436-016,AT,8812
9000436-016,AT,8813
9000436-016,AT,8820
9000436-016,AT,8822
9000436-016,AT,8831
9000436-016,AT,8832
9000436-016,AT,8833
9000436-016,AT,8841
9000436-016,AT,8842
9000436-016,AT,8843
9000436-016,AT,8844
9000436-016,AT,8850
9000436-016,AT,8852
9000436-016,AT,8853
