"9010203-001","DHL Standard","DHL Standard - Europe Group 1"
"9010204-001","DHL Standard","DHL Standard - Europe Group 2"
"910000-001","DHL Express","DHL Express - International"
"910001-001","Premier Daytime","Premier Daytime - Zone 3"
"910001-002","Premier Evening","Premier Evening - Zone 3"
"910002-001","Premier Daytime","Premier Daytime - Zone 2"
"910002-002","Premier Evening","Premier Evening - Zone 2"
"910003-001","DHL Express","DHL Express - UK"
"910003-001","DHL Express","DHL Express - UK"
"910004-001","DHL Express","DHL Express - North America"
"910005-001","Premier Daytime","Premier Daytime - Zone 1"
"910005-002","Premier Evening","Premier Evening - Zone 1"
"910008-001","DHL Express","DHL Express - Europe"
"910008-001","DHL Express","DHL Express - Europe"
"910008-001","DHL Express","DHL Express - Europe"
